"학교명","학교급구분","위도","경도"
"서울청덕초등학교","초등학교","37.61203173","127.0003334"
"보인고등학교","고등학교","37.4975692","127.1395178"
"가산중학교","중학교","37.46877706","126.8944749"
"중앙여자고등학교","고등학교","37.56317672","126.9540593"
"서울삼일초등학교","초등학교","37.48823549","126.9751016"
"은평고등학교","고등학교","37.60984462","126.9057368"
"서울체육중학교","중학교","37.52233038","127.1298226"
"서울중광초등학교","초등학교","37.56524214","127.082693"
"서울영중초등학교","초등학교","37.5241433","126.9036955"
"상봉중학교","중학교","37.60152799","127.0901246"
"선일초등학교","초등학교","37.62030421","126.9119931"
"성신여자고등학교","고등학교","37.59428963","127.0224072"
"방화중학교","중학교","37.56433471","126.8071069"
"서울문화고등학교","고등학교","37.66413143","127.0472858"
"서울금양초등학교","초등학교","37.54094231","126.9618319"
"미림여자고등학교","고등학교","37.4661018","126.9319279"
"서울연희초등학교","초등학교","37.56904593","126.9341423"
"서울상곡초등학교","초등학교","37.66290401","127.0620747"
"서울풍납초등학교","초등학교","37.53440483","127.1172037"
"서울남성초등학교","초등학교","37.48459498","126.9754874"
"양정중학교","중학교","37.53538402","126.8877343"
"관악고등학교","고등학교","37.52179166","126.8829505"
"서울대길초등학교","초등학교","37.49811236","126.9131739"
"국립국악고등학교","고등학교","37.4762308","127.0514732"
"서울증산초등학교","초등학교","37.58256527","126.9042764"
"자양중학교","중학교","37.53539805","127.074384"
"서울우암초등학교","초등학교","37.47229555","127.0237234"
"금천고등학교","고등학교","37.44480673","126.9049018"
"서울구남초등학교","초등학교","37.53709659","127.0922888"
"서울용암초등학교","초등학교","37.5453029","126.9894348"
"성동공업고등학교","고등학교","37.56936315","127.0172917"
"서울길원초등학교","초등학교","37.60906464","127.0167996"
"서울신미림초등학교","초등학교","37.50714192","126.8795527"
"서울묵동초등학교","초등학교","37.60335949","127.0808272"
"서울문영여자중학교","중학교","37.47290457","126.9509181"
"서울공업고등학교","고등학교","37.50190126","126.9223834"
"서울대은초등학교","초등학교","37.61236712","126.9258698"
"성암국제무역고등학교","고등학교","37.62041353","127.0239059"
"한국삼육고등학교","고등학교","37.64335737","127.1088503"
"양서중학교","중학교","37.53262929","126.8291351"
"광운중학교","중학교","37.61923977","127.0565452"
"서울등현초등학교","초등학교","37.56145118","126.8475984"
"서울불암초등학교","초등학교","37.65078442","127.0806018"
"서울대현초등학교","초등학교","37.50372159","127.0635654"
"서울구현초등학교","초등학교","37.60984462","126.9057958"
"휘경중학교","중학교","37.58709299","127.0617461"
"선덕중학교","중학교","37.65634868","127.0268766"
"서울강신초등학교","초등학교","37.54209971","126.8295837"
"광성고등학교","고등학교","37.54869756","126.9359696"
"서울혜화초등학교","초등학교","37.58863443","127.0002536"
"서울신창초등학교","초등학교","37.63659186","127.0420843"
"세화여자고등학교","고등학교","37.50199646","126.9942300138"
"서울화계초등학교","초등학교","37.62388498","127.0297162"
"신광여자중학교","중학교","37.54289988","126.9694475"
"신정여자중학교","중학교","37.53838143","126.8570622"
"경복여자고등학교","고등학교","37.55782183","126.8505957"
"서울유현초등학교","초등학교","37.63234717","127.011421"
"진관고등학교","고등학교","37.64333857","126.9243825"
"서울신월초등학교","초등학교","37.54036551","126.8394555"
"서울경일초등학교","초등학교","37.5409419","127.0466051"
"개운중학교","중학교","37.59462665","127.0248421"
"혜원여자고등학교","고등학교","37.59327987","127.0970427"
"서울면목초등학교","초등학교","37.5906966","127.0872878"
"서울성원초등학교","초등학교","37.56698252","126.9050853"
"서울송중초등학교","초등학교","37.61700008","127.0314657"
"선정고등학교","고등학교","37.61870451","126.9090316"
"서울공연예술고등학교","고등학교","37.49993066","126.8326087"
